139	472	47	162	34	524	400	312	615	112	617	526	146	585	602	477	383	532	362	592	136	155	32	459	552
331	510	390	589	562	214	63	566	540	318	409	398	91	379	77	499	263	167	326	384	54	473	72	492	69
508	89	571	338	119	190	407	272	292	342	2	304	193	246	429	327	285	621	255	448	245	31	207	192	120
125	233	491	531	411	40	544	243	484	130	449	321	44	90	55	509	376	122	267	200	86	213	454	497	598
51	83	128	281	343	555	416	493	262	164	296	437	528	389	177	240	381	471	442	172	9	307	616	402	38
74	567	393	581	33	303	294	424	220	113	439	105	348	165	386	574	248	149	88	202	354	309	206	569	568
20	198	140	201	182	297	322	413	157	59	576	522	253	609	275	97	114	461	311	176	444	535	250	301	316
230	490	489	95	410	195	446	169	57	334	60	178	145	553	317	328	35	279	533	515	364	577	10	346	236
366	500	610	284	1	154	498	422	401	70	341	109	124	158	476	36	353	290	372	116	205	229	170	600	102
123	367	434	244	3	46	82	587	474	21	447	310	488	397	432	332	479	68	406	456	578	443	144	405	356
29	24	129	135	204	340	194	408	543	503	242	98	17	606	460	475	12	580	487	420	438	134	545	505	618
117	150	103	347	287	94	308	457	269	404	611	216	49	45	137	392	596	470	7	512	554	466	291	175	462
417	527	385	525	624	599	431	264	506	538	300	203	271	458	370	152	445	542	196	180	418	232	15	25	100
619	365	430	377	241	467	224	153	211	415	171	623	382	482	75	227	485	622	319	266	337	428	330	101	546
106	426	183	351	260	11	360	464	541	605	565	315	349	104	590	71	76	50	166	5	217	469	352	597	534
325	221	536	570	614	118	132	305	399	61	560	26	595	254	209	259	433	516	425	520	273	127	494	513	84
39	373	85	594	324	148	495	92	502	436	22	261	147	274	286	557	181	314	394	371	339	283	265	329	143
549	359	189	440	582	256	163	48	523	210	56	258	519	6	306	18	355	537	13	612	30	558	93	435	28
133	412	160	52	110	237	257	298	504	141	496	391	58	423	320	441	161	67	251	231	620	419	468	521	336
361	191	79	323	212	99	451	374	517	481	197	465	80	277	363	238	282	252	73	235	478	561	350	62	249
78	14	4	225	453	388	573	278	547	450	223	8	96	187	27	228	247	107	452	218	108	270	572	41	486
222	559	81	335	395	591	556	396	463	551	115	293	483	16	142	333	588	156	455	215	603	403	530	564	414
427	548	421	593	607	239	219	313	168	174	226	43	613	299	586	375	584	579	159	358	173	184	268	514	66
151	380	601	199	604	131	507	185	179	480	501	138	539	87	37	563	575	518	345	64	65	42	289	387	302
608	186	288	53	126	121	369	19	295	234	344	276	208	280	188	529	378	511	357	368	550	111	583	23	0
